epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.16121,4.45412,6.70693,4.23966,0,0,0,0,4.73727,6.24303,4.17215,0.00326389,0.00326389,0.00326389
2,11.8457,4.26331,5.92047,4.14643,0,0,0,0,4.75727,6.02319,4.19766,0.00659069,0.00659069,0.00659069
3,17.6965,3.38782,4.38021,3.54245,0.18184,0.20968,0.09429,0.02412,2.99388,4.5222,3.40168,0.00991089,0.00991089,0.00991089
4,23.2216,2.75147,3.22725,2.9543,0.02765,0.09677,0.00803,0.00202,3.5441,10.0314,6.17252,0.0099703,0.0099703,0.0099703
5,28.8185,2.30184,2.28295,2.56594,0.38221,0.35484,0.24978,0.08389,2.21997,2.74691,2.91821,0.0099604,0.0099604,0.0099604
6,34.3953,2.04551,1.84279,2.28038,0.56786,0.52688,0.59307,0.28428,1.74476,2.37764,2.21583,0.0099505,0.0099505,0.0099505
7,40.0689,1.93489,1.61156,2.12716,0.74933,0.67503,0.74672,0.40862,1.69363,1.40252,2.09596,0.0099406,0.0099406,0.0099406
8,45.626,1.79673,1.37431,1.96634,0.86425,0.82796,0.91187,0.53912,1.44501,1.89906,1.94255,0.0099307,0.0099307,0.0099307
9,51.3183,1.6937,1.34264,1.86266,0.92034,0.87097,0.93785,0.56623,1.36464,2.10235,1.80482,0.0099208,0.0099208,0.0099208
10,56.8754,1.61643,1.20223,1.75861,0.82569,0.91685,0.93487,0.56,1.31966,1.60598,1.81088,0.0099109,0.0099109,0.0099109
11,62.4672,1.54985,1.11074,1.73421,0.87703,0.93011,0.94778,0.56215,1.33305,1.10033,1.76608,0.009901,0.009901,0.009901
12,68.1773,1.48961,1.05414,1.67965,0.94603,0.95699,0.98127,0.62603,1.28741,1.23186,1.72752,0.0098911,0.0098911,0.0098911
13,73.8522,1.40309,0.99993,1.59229,0.97204,0.93451,0.97519,0.62791,1.25425,0.82819,1.69802,0.0098812,0.0098812,0.0098812
14,79.5926,1.34923,0.9292,1.55257,0.95038,0.95161,0.97789,0.60165,1.3162,0.86064,1.73277,0.0098713,0.0098713,0.0098713
15,85.4138,1.32181,0.91713,1.55386,0.96811,0.97312,0.9924,0.65703,1.13331,0.77786,1.55977,0.0098614,0.0098614,0.0098614
16,91.2609,1.33122,0.87458,1.53745,0.92274,0.96323,0.98053,0.65592,1.14869,0.85591,1.55628,0.0098515,0.0098515,0.0098515
17,97.0793,1.28457,0.82873,1.47929,0.91932,0.95161,0.97364,0.63151,1.14552,0.75805,1.47566,0.0098416,0.0098416,0.0098416
18,102.874,1.24632,0.81242,1.45675,0.98378,0.97801,0.9929,0.67736,1.10481,0.6654,1.55414,0.0098317,0.0098317,0.0098317
19,108.702,1.20754,0.78992,1.44045,0.9578,0.97622,0.98488,0.62662,1.192,0.75124,1.51,0.0098218,0.0098218,0.0098218
20,114.465,1.21925,0.77722,1.42296,0.97249,0.98387,0.99366,0.71316,0.9688,0.62701,1.4068,0.0098119,0.0098119,0.0098119
21,120.426,1.18438,0.76727,1.41765,0.97176,0.94086,0.98963,0.69004,1.0217,0.70727,1.41507,0.009802,0.009802,0.009802
22,126.098,1.1406,0.72556,1.36155,0.95212,0.97849,0.98185,0.6522,1.13165,0.87873,1.51283,0.0097921,0.0097921,0.0097921
23,131.757,1.13639,0.72974,1.37999,0.98674,0.97849,0.99093,0.67202,1.09785,0.64703,1.46617,0.0097822,0.0097822,0.0097822
24,137.579,1.1238,0.69688,1.33122,0.99396,0.97849,0.99329,0.70656,1.00603,0.60161,1.35841,0.0097723,0.0097723,0.0097723
25,143.254,1.12418,0.71316,1.35274,0.97685,0.98387,0.99161,0.68876,1.02029,0.61719,1.41446,0.0097624,0.0097624,0.0097624
26,148.856,1.11931,0.68349,1.35047,0.9934,0.98387,0.99468,0.73816,0.9327,0.5639,1.34178,0.0097525,0.0097525,0.0097525
27,154.708,1.07639,0.67415,1.3314,0.98865,0.96237,0.98554,0.73371,0.92994,0.58688,1.35375,0.0097426,0.0097426,0.0097426
28,160.298,1.07797,0.66901,1.32755,0.99531,0.98925,0.99369,0.70105,1.02052,0.56078,1.41082,0.0097327,0.0097327,0.0097327
29,165.947,1.04294,0.64197,1.28413,0.99042,0.98387,0.99474,0.69717,1.03968,0.57958,1.41404,0.0097228,0.0097228,0.0097228
30,171.702,1.04845,0.62887,1.29631,0.98374,0.97571,0.99407,0.74788,0.91324,0.55618,1.31451,0.0097129,0.0097129,0.0097129
