epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.80611,4.21567,6.27529,4.15938,0,0,0,0,4.44916,5.91276,4.17094,0.000647059,0.000647059,0.000647059
2,8.86616,3.49688,5.25857,3.65859,0.0001,0.02878,5e-05,1e-05,4.51242,6.17934,4.27296,0.00131242,0.00131242,0.00131242
3,12.8998,2.9517,3.91614,3.1459,3e-05,0.00719,1e-05,0,4.24019,4.97604,4.01814,0.00197647,0.00197647,0.00197647
4,16.8904,2.50087,2.97684,2.69722,0.08578,0.06475,0.01555,0.00401,3.30651,3.77311,5.71057,0.00199406,0.00199406,0.00199406
5,21.0092,2.13111,2.38427,2.42739,0.29859,0.33689,0.24792,0.0684,2.60258,2.37728,3.09595,0.00199208,0.00199208,0.00199208
6,25.1252,1.97762,1.9302,2.23765,0.4652,0.72662,0.59636,0.25029,1.92531,1.88704,2.45288,0.0019901,0.0019901,0.0019901
7,29.2007,1.86748,1.69347,2.14891,0.61843,0.64748,0.73212,0.41649,1.52578,1.4305,2.10483,0.00198812,0.00198812,0.00198812
8,33.2327,1.74441,1.49578,2.03223,0.73044,0.85612,0.83634,0.48575,1.52777,1.22073,2.01321,0.00198614,0.00198614,0.00198614
9,37.2301,1.67065,1.38285,1.89928,0.77317,0.85831,0.9095,0.59748,1.33276,1.08544,1.93248,0.00198416,0.00198416,0.00198416
10,41.2364,1.57714,1.25952,1.85643,0.8887,0.91914,0.96596,0.59485,1.30704,1.04186,1.91005,0.00198218,0.00198218,0.00198218
11,45.3218,1.5776,1.20844,1.83705,0.90778,0.84173,0.9416,0.55991,1.38653,1.37242,1.93069,0.0019802,0.0019802,0.0019802
12,49.2996,1.45671,1.10157,1.74093,0.9544,0.8705,0.97293,0.60891,1.3067,1.05439,1.88251,0.00197822,0.00197822,0.00197822
13,53.2988,1.43654,1.11711,1.68382,0.91305,0.90657,0.95989,0.63945,1.22822,0.91019,1.76639,0.00197624,0.00197624,0.00197624
14,57.3209,1.40941,1.01565,1.67462,0.95763,0.97561,0.97908,0.63759,1.25713,0.82182,1.78101,0.00197426,0.00197426,0.00197426
15,61.4133,1.36022,0.96677,1.65652,0.88836,0.92806,0.97397,0.60503,1.36279,1.01373,1.81505,0.00197228,0.00197228,0.00197228
16,65.4961,1.35017,0.95136,1.6138,0.98509,0.96403,0.99216,0.69318,1.10826,0.78637,1.65492,0.0019703,0.0019703,0.0019703
17,69.4995,1.34578,0.91886,1.63249,0.97118,0.96979,0.99302,0.65266,1.11586,0.7618,1.66088,0.00196832,0.00196832,0.00196832
18,73.4874,1.26392,0.87706,1.5476,0.98411,0.97842,0.9941,0.64667,1.18637,0.75407,1.69313,0.00196634,0.00196634,0.00196634
19,77.4654,1.22645,0.83523,1.53907,0.98435,0.97122,0.99165,0.6849,1.09115,0.7155,1.60345,0.00196436,0.00196436,0.00196436
20,81.4471,1.23457,0.80559,1.49655,0.99368,0.99281,0.995,0.71421,1.02561,0.72049,1.5547,0.00196238,0.00196238,0.00196238
21,85.4366,1.19437,0.78434,1.50762,0.99082,0.99281,0.99486,0.68818,1.09047,0.69229,1.59856,0.0019604,0.0019604,0.0019604
22,89.452,1.1941,0.78521,1.45724,0.99786,1,0.995,0.71856,1.04845,0.64147,1.5592,0.00195842,0.00195842,0.00195842
23,93.5419,1.19044,0.77852,1.46654,1,0.99003,0.995,0.73181,0.9887,0.70771,1.499,0.00195644,0.00195644,0.00195644
24,97.5477,1.1896,0.7564,1.46378,0.97116,1,0.99457,0.66104,1.16009,0.65151,1.67152,0.00195446,0.00195446,0.00195446
25,101.527,1.14479,0.71703,1.42547,0.99216,1,0.995,0.74384,0.94259,0.59637,1.47026,0.00195248,0.00195248,0.00195248
26,105.544,1.1649,0.73393,1.43646,0.97871,0.9921,0.99332,0.71156,0.99303,0.63897,1.46844,0.0019505,0.0019505,0.0019505
27,109.629,1.11522,0.6976,1.42428,0.97177,0.9906,0.99407,0.66446,1.13393,0.61003,1.61587,0.00194852,0.00194852,0.00194852
28,113.711,1.15806,0.69393,1.42,0.98433,1,0.995,0.70576,1.02247,0.64712,1.52907,0.00194654,0.00194654,0.00194654
29,117.696,1.07104,0.67241,1.38168,1,0.99995,0.995,0.72454,0.99954,0.55079,1.4978,0.00194456,0.00194456,0.00194456
30,121.852,1.13192,0.69062,1.4386,0.98386,1,0.9904,0.70646,0.98341,0.60183,1.49589,0.00194258,0.00194258,0.00194258
31,125.84,1.12073,0.69583,1.39294,0.99172,0.99281,0.995,0.73099,0.9301,0.57954,1.42852,0.0019406,0.0019406,0.0019406
32,129.855,1.06566,0.65002,1.35599,0.99057,1,0.9945,0.72633,0.94233,0.54947,1.44371,0.00193862,0.00193862,0.00193862
33,133.839,1.08462,0.66717,1.36576,1,0.96365,0.99396,0.72377,0.94813,0.56063,1.46414,0.00193664,0.00193664,0.00193664
34,137.841,1.02598,0.62539,1.32503,0.99702,1,0.995,0.75429,0.90234,0.5198,1.39743,0.00193466,0.00193466,0.00193466
35,141.912,1.04251,0.63763,1.35289,1,0.99887,0.995,0.75248,0.92621,0.53079,1.39727,0.00193268,0.00193268,0.00193268
36,146.002,1.02164,0.62194,1.34063,0.99721,1,0.995,0.73852,0.8786,0.53024,1.35892,0.0019307,0.0019307,0.0019307
37,149.97,1.05486,0.63941,1.36164,0.996,1,0.995,0.72539,0.93601,0.55298,1.45189,0.00192872,0.00192872,0.00192872
38,153.956,1.03566,0.62275,1.34411,0.99582,0.99281,0.995,0.73151,0.94924,0.54464,1.38723,0.00192674,0.00192674,0.00192674
39,158.046,1.01791,0.60243,1.30505,0.97829,1,0.99472,0.73768,0.93131,0.51831,1.38794,0.00192476,0.00192476,0.00192476
40,162.036,0.98224,0.60281,1.30888,0.99283,0.99666,0.995,0.73686,0.95027,0.55178,1.44951,0.00192278,0.00192278,0.00192278
41,166.105,0.99103,0.59975,1.27196,0.99875,1,0.995,0.73912,0.95034,0.53168,1.38905,0.0019208,0.0019208,0.0019208
42,170.091,1.04025,0.60378,1.32281,0.99859,0.99281,0.995,0.72679,0.96717,0.51589,1.4625,0.00191882,0.00191882,0.00191882
43,174.175,1.00478,0.59289,1.31334,0.99045,1,0.99393,0.73882,0.90274,0.53029,1.34752,0.00191684,0.00191684,0.00191684
44,178.254,0.97534,0.60226,1.27967,0.99711,1,0.995,0.765,0.85402,0.49036,1.34486,0.00191486,0.00191486,0.00191486
45,182.252,0.97648,0.58472,1.27164,1,0.99958,0.995,0.74691,0.87715,0.55345,1.37227,0.00191288,0.00191288,0.00191288
46,186.246,0.99214,0.57668,1.29477,0.99324,1,0.995,0.74283,0.91172,0.56578,1.39058,0.0019109,0.0019109,0.0019109
47,190.227,0.96888,0.58525,1.28712,0.98529,0.96383,0.99165,0.7083,1.00403,0.57095,1.43399,0.00190892,0.00190892,0.00190892
48,194.32,0.98002,0.5712,1.27273,1,0.99743,0.995,0.74211,0.93611,0.5033,1.40569,0.00190694,0.00190694,0.00190694
49,198.295,0.98699,0.58328,1.31996,0.9988,1,0.995,0.7744,0.84319,0.48592,1.33532,0.00190496,0.00190496,0.00190496
50,202.398,0.96685,0.56313,1.26742,0.98485,1,0.99207,0.76723,0.80984,0.49304,1.28428,0.00190298,0.00190298,0.00190298
51,206.37,0.93145,0.55069,1.26304,0.99893,1,0.995,0.76915,0.84831,0.46843,1.32266,0.001901,0.001901,0.001901
52,210.364,0.95228,0.55548,1.26303,0.99142,1,0.995,0.7276,0.93672,0.5234,1.38023,0.00189902,0.00189902,0.00189902
53,214.351,0.96435,0.55997,1.25847,0.99855,1,0.995,0.752,0.86426,0.52397,1.34754,0.00189704,0.00189704,0.00189704
54,218.339,0.95562,0.55493,1.24394,0.99698,1,0.995,0.76027,0.86402,0.45499,1.31187,0.00189506,0.00189506,0.00189506
55,222.323,0.96668,0.56425,1.27263,0.98406,1,0.995,0.77066,0.88018,0.48344,1.35069,0.00189308,0.00189308,0.00189308
56,226.358,0.96368,0.56132,1.25104,0.99907,1,0.995,0.78587,0.8273,0.47397,1.3088,0.0018911,0.0018911,0.0018911
57,230.453,0.93718,0.55352,1.25319,0.99873,1,0.995,0.77146,0.88794,0.4971,1.35659,0.00188912,0.00188912,0.00188912
58,234.442,0.93454,0.55749,1.27173,0.99036,1,0.99486,0.78833,0.80864,0.47403,1.30082,0.00188714,0.00188714,0.00188714
59,238.436,0.91139,0.53384,1.21854,0.99751,1,0.995,0.77722,0.827,0.4614,1.30384,0.00188516,0.00188516,0.00188516
60,242.515,0.97309,0.54393,1.26375,0.98597,0.98561,0.99478,0.73231,0.91443,0.525,1.41591,0.00188318,0.00188318,0.00188318
61,246.6,0.97503,0.55978,1.27855,0.99749,1,0.995,0.77211,0.86972,0.48119,1.36924,0.0018812,0.0018812,0.0018812
62,250.588,0.91206,0.52451,1.24972,0.99266,1,0.995,0.76048,0.86211,0.49793,1.31657,0.00187922,0.00187922,0.00187922
63,254.577,0.93368,0.53807,1.24206,0.99867,1,0.995,0.76676,0.88016,0.44763,1.33997,0.00187724,0.00187724,0.00187724
64,258.571,0.93964,0.54189,1.22595,0.9959,1,0.995,0.78915,0.80772,0.52897,1.28941,0.00187526,0.00187526,0.00187526
65,262.583,0.92201,0.53113,1.20694,0.99179,1,0.99486,0.77184,0.832,0.48363,1.31231,0.00187328,0.00187328,0.00187328
66,266.565,0.85853,0.50692,1.17947,0.99831,1,0.995,0.79327,0.80239,0.44689,1.28986,0.0018713,0.0018713,0.0018713
67,270.562,0.92877,0.52844,1.23929,0.99284,0.99747,0.995,0.74515,0.88769,0.50801,1.36793,0.00186932,0.00186932,0.00186932
68,274.554,0.93006,0.53695,1.23066,0.99854,1,0.995,0.77198,0.8547,0.46346,1.31624,0.00186734,0.00186734,0.00186734
69,278.634,0.90036,0.51249,1.21576,0.99796,1,0.995,0.76925,0.82654,0.43843,1.2913,0.00186536,0.00186536,0.00186536
70,282.622,0.91103,0.5145,1.19517,0.99174,1,0.99379,0.78344,0.82867,0.45001,1.31035,0.00186338,0.00186338,0.00186338
71,286.601,0.89814,0.52462,1.2079,0.98862,1,0.9945,0.78179,0.77613,0.50229,1.24265,0.0018614,0.0018614,0.0018614
72,290.688,0.89488,0.50774,1.21409,0.99904,1,0.995,0.78866,0.8267,0.45071,1.33907,0.00185942,0.00185942,0.00185942
73,294.751,0.93366,0.53477,1.23264,0.99623,1,0.995,0.78262,0.85186,0.4407,1.34585,0.00185744,0.00185744,0.00185744
74,298.743,0.90635,0.52237,1.20759,0.99151,1,0.99493,0.78121,0.80309,0.44304,1.27059,0.00185546,0.00185546,0.00185546
75,302.732,0.88627,0.50424,1.18136,0.99899,1,0.995,0.79833,0.80707,0.43289,1.2988,0.00185348,0.00185348,0.00185348
76,306.73,0.87931,0.51078,1.19115,0.99892,1,0.995,0.7873,0.79022,0.43303,1.23484,0.0018515,0.0018515,0.0018515
77,310.709,0.86373,0.50742,1.17991,0.99679,1,0.995,0.78586,0.81214,0.46706,1.28223,0.00184952,0.00184952,0.00184952
78,314.792,0.86202,0.49901,1.16922,0.99838,1,0.995,0.77921,0.83868,0.43133,1.26994,0.00184754,0.00184754,0.00184754
79,318.763,0.90662,0.51025,1.2259,0.99778,1,0.995,0.78948,0.80837,0.43248,1.27554,0.00184556,0.00184556,0.00184556
80,322.75,0.88394,0.51768,1.16808,0.99906,1,0.995,0.79402,0.81116,0.42681,1.2935,0.00184358,0.00184358,0.00184358
81,326.733,0.88537,0.49451,1.20107,0.99841,1,0.995,0.77706,0.8537,0.4463,1.33519,0.0018416,0.0018416,0.0018416
82,330.726,0.88058,0.49755,1.18907,0.99834,1,0.995,0.80259,0.80613,0.42436,1.29009,0.00183962,0.00183962,0.00183962
83,334.728,0.87318,0.49601,1.18892,0.99122,1,0.995,0.76835,0.87459,0.45676,1.33775,0.00183764,0.00183764,0.00183764
84,338.812,0.89087,0.50124,1.18842,0.99915,1,0.995,0.79131,0.80701,0.43906,1.27252,0.00183566,0.00183566,0.00183566
85,342.889,0.92072,0.5104,1.20752,0.9984,0.99281,0.995,0.79191,0.82514,0.45555,1.30553,0.00183368,0.00183368,0.00183368
86,346.88,0.84872,0.49247,1.19164,0.99713,1,0.995,0.77827,0.84515,0.45556,1.3269,0.0018317,0.0018317,0.0018317
87,350.958,0.87374,0.4965,1.17565,0.99886,1,0.995,0.79006,0.83796,0.42983,1.32048,0.00182972,0.00182972,0.00182972
88,355.058,0.85858,0.48776,1.17625,0.99803,1,0.995,0.78896,0.78959,0.43408,1.25116,0.00182774,0.00182774,0.00182774
89,359.025,0.86052,0.49417,1.19219,0.99154,1,0.995,0.79499,0.81186,0.43652,1.30805,0.00182576,0.00182576,0.00182576
90,363.016,0.88322,0.50578,1.1913,0.99673,0.99281,0.995,0.78299,0.79235,0.43791,1.26067,0.00182378,0.00182378,0.00182378
91,367.102,0.85212,0.48788,1.15587,0.98242,1,0.99486,0.80116,0.77242,0.44235,1.24482,0.0018218,0.0018218,0.0018218
92,371.181,0.83707,0.48615,1.1734,0.99529,1,0.995,0.80425,0.76419,0.41778,1.23483,0.00181982,0.00181982,0.00181982
93,375.185,0.84525,0.47869,1.18627,0.99859,1,0.995,0.80012,0.79321,0.43146,1.24459,0.00181784,0.00181784,0.00181784
94,379.192,0.82995,0.47462,1.15641,0.99862,1,0.995,0.81981,0.76486,0.39791,1.24291,0.00181586,0.00181586,0.00181586
95,383.184,0.8387,0.47047,1.15108,0.99824,1,0.995,0.80796,0.77744,0.39573,1.23574,0.00181388,0.00181388,0.00181388
96,387.273,0.87653,0.49325,1.2022,0.9981,1,0.995,0.79445,0.80139,0.43083,1.26085,0.0018119,0.0018119,0.0018119
97,391.347,0.85902,0.48621,1.16939,0.99841,1,0.995,0.80373,0.78173,0.40917,1.26027,0.00180992,0.00180992,0.00180992
98,395.341,0.85311,0.47391,1.15298,0.999,1,0.995,0.797,0.81122,0.42333,1.26791,0.00180794,0.00180794,0.00180794
99,399.309,0.86926,0.48927,1.20554,0.99896,1,0.995,0.81066,0.7903,0.40473,1.25219,0.00180596,0.00180596,0.00180596
100,403.306,0.86187,0.48128,1.18296,0.99798,1,0.995,0.78846,0.7832,0.41788,1.26573,0.00180398,0.00180398,0.00180398
101,407.391,0.81628,0.47699,1.13868,0.99939,1,0.995,0.79673,0.75327,0.38355,1.23311,0.001802,0.001802,0.001802
102,411.382,0.85947,0.48051,1.16629,0.99879,1,0.995,0.79032,0.81281,0.43916,1.28143,0.00180002,0.00180002,0.00180002
103,415.354,0.8502,0.49029,1.15595,0.99119,1,0.995,0.78839,0.8016,0.41916,1.29168,0.00179804,0.00179804,0.00179804
104,419.346,0.83295,0.47495,1.16179,0.99786,1,0.995,0.80031,0.76913,0.44003,1.24475,0.00179606,0.00179606,0.00179606
105,423.336,0.849,0.47518,1.14927,0.99746,1,0.995,0.80101,0.78334,0.40617,1.2428,0.00179408,0.00179408,0.00179408
106,427.336,0.82128,0.47078,1.16729,0.99646,1,0.995,0.7923,0.80909,0.44779,1.28097,0.0017921,0.0017921,0.0017921
107,431.437,0.84188,0.48105,1.13819,0.9941,1,0.995,0.79109,0.78865,0.42083,1.25861,0.00179012,0.00179012,0.00179012
108,435.427,0.81673,0.46184,1.13804,0.99281,1,0.995,0.82112,0.75184,0.40013,1.23808,0.00178814,0.00178814,0.00178814
109,439.408,0.81695,0.46042,1.16813,0.99108,1,0.995,0.81523,0.76793,0.40037,1.23519,0.00178616,0.00178616,0.00178616
