epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.61434,0.78987,2.38577,1.13475,0.96623,0.80232,0.95793,0.75116,0.69222,2.58778,0.99735,0.0005,0.0005,0.0005
2,6.6944,0.70934,1.28928,1.02012,0.94016,0.88096,0.94022,0.70574,0.77485,2.08321,1.09382,0.00101899,0.00101899,0.00101899
3,9.66413,0.70888,1.21587,1.01176,0.88386,0.71963,0.91138,0.71923,0.76636,2.21782,1.04216,0.00153695,0.00153695,0.00153695
4,12.6133,0.69307,1.01759,1.0053,0.78871,0.79439,0.79642,0.57561,0.86085,2.24396,1.1151,0.00199406,0.00199406,0.00199406
5,15.5417,0.70984,0.92233,0.99538,0.68915,0.51402,0.62747,0.48793,0.85945,1.92966,1.10203,0.00199208,0.00199208,0.00199208
6,18.5159,0.65738,0.81428,0.98762,0.78635,0.80374,0.84012,0.72477,0.60755,2.14164,0.94588,0.0019901,0.0019901,0.0019901
7,21.4421,0.62897,0.71749,0.96176,0.81594,0.71028,0.81919,0.66666,0.70249,1.31404,1.00781,0.00198812,0.00198812,0.00198812
8,24.3781,0.62242,0.69314,0.96765,0.88731,0.95666,0.95241,0.82502,0.52634,0.87973,0.87198,0.00198614,0.00198614,0.00198614
9,27.4892,0.63068,0.65524,0.97446,0.94181,0.90756,0.98189,0.85105,0.54517,0.67436,0.90748,0.00198416,0.00198416,0.00198416
10,30.4886,0.59923,0.6108,0.96798,0.97129,1,0.99206,0.88641,0.50531,0.55222,0.88313,0.00198218,0.00198218,0.00198218
11,33.4487,0.60498,0.56112,0.94888,0.94617,1,0.9851,0.87094,0.49384,0.5047,0.87551,0.0019802,0.0019802,0.0019802
12,36.4056,0.59369,0.53377,0.94654,0.98865,1,0.98944,0.8896,0.47145,0.44559,0.86398,0.00197822,0.00197822,0.00197822
13,39.3711,0.58391,0.52789,0.95624,0.98012,1,0.99311,0.89904,0.44991,0.40349,0.85199,0.00197624,0.00197624,0.00197624
14,42.4385,0.58206,0.49698,0.94166,0.98498,1,0.99444,0.91545,0.41543,0.36775,0.83982,0.00197426,0.00197426,0.00197426
15,45.4319,0.56888,0.48088,0.95737,0.98814,1,0.99407,0.89801,0.46242,0.34546,0.85496,0.00197228,0.00197228,0.00197228
16,48.4193,0.54115,0.46269,0.92701,0.98145,0.98913,0.99425,0.90087,0.45954,0.40663,0.84902,0.0019703,0.0019703,0.0019703
17,51.5107,0.56314,0.46792,0.94031,0.97152,0.99065,0.99159,0.90638,0.42896,0.37794,0.84547,0.00196832,0.00196832,0.00196832
18,54.4447,0.55866,0.46382,0.93478,0.98053,0.99065,0.98706,0.90793,0.43235,0.36541,0.85262,0.00196634,0.00196634,0.00196634
19,57.3831,0.55715,0.44687,0.93786,0.96797,1,0.99083,0.9102,0.42133,0.43445,0.85597,0.00196436,0.00196436,0.00196436
20,60.3667,0.59374,0.47705,0.96259,0.94993,0.8972,0.93491,0.8286,0.48552,0.50824,0.88324,0.00196238,0.00196238,0.00196238
21,63.3583,0.53552,0.43583,0.93834,0.98258,0.96262,0.98578,0.89565,0.44159,0.39757,0.85704,0.0019604,0.0019604,0.0019604
22,66.3047,0.54631,0.44154,0.94372,0.98692,1,0.99426,0.90402,0.44286,0.32252,0.84935,0.00195842,0.00195842,0.00195842
