epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.48017,4.1909,6.3071,4.17663,0,0,0,0,4.51951,6.05939,4.17493,0.00065,0.00065,0.00065
2,10.2246,3.27205,5.07026,3.49071,0.00013,0.04027,7e-05,2e-05,4.46562,5.74434,4.06853,0.00131536,0.00131536,0.00131536
3,14.9728,2.66427,3.49592,2.87359,0.31182,0.18121,0.20392,0.07392,2.6955,3.96871,3.01968,0.00197941,0.00197941,0.00197941
4,19.6258,2.36245,2.74303,2.52765,0.53445,0.51007,0.4329,0.16347,2.26864,2.61354,2.69346,0.00199406,0.00199406,0.00199406
5,24.3109,2.12196,2.08534,2.31629,0.62523,0.72483,0.64946,0.31788,1.91574,1.90653,2.38718,0.00199208,0.00199208,0.00199208
6,29.0778,1.89335,1.73725,2.12999,0.71518,0.78523,0.7793,0.41045,1.72992,1.46152,2.17983,0.0019901,0.0019901,0.0019901
7,33.7376,1.75585,1.4816,2.0022,0.67883,0.55324,0.72387,0.39431,1.57639,1.7617,2.08047,0.00198812,0.00198812,0.00198812
8,38.3868,1.56458,1.27009,1.83098,0.9419,0.88591,0.96904,0.61361,1.31679,0.93973,1.82966,0.00198614,0.00198614,0.00198614
9,43.037,1.51897,1.21916,1.76901,0.95119,0.91561,0.9728,0.62289,1.31757,0.99015,1.78756,0.00198416,0.00198416,0.00198416
10,47.6934,1.45965,1.14915,1.72487,0.94501,0.92273,0.98423,0.62379,1.30163,0.9929,1.73771,0.00198218,0.00198218,0.00198218
11,52.3549,1.46262,1.12764,1.68325,0.9143,0.93085,0.97925,0.65906,1.17307,0.93406,1.66834,0.0019802,0.0019802,0.0019802
12,57.1453,1.41962,1.05092,1.65602,0.9929,0.93795,0.98725,0.63559,1.27579,1.10531,1.80977,0.00197822,0.00197822,0.00197822
13,61.8177,1.36212,0.97727,1.65503,0.99291,0.93961,0.99182,0.64988,1.2267,0.75086,1.7125,0.00197624,0.00197624,0.00197624
14,66.5446,1.29924,0.92643,1.57685,0.97314,0.97276,0.99223,0.69344,1.05128,0.73691,1.57239,0.00197426,0.00197426,0.00197426
15,71.2813,1.25936,0.88629,1.55111,0.97338,0.9815,0.99395,0.70626,1.05577,0.71299,1.55445,0.00197228,0.00197228,0.00197228
16,76.0702,1.18505,0.84848,1.50687,0.96593,0.95142,0.9903,0.69587,1.09355,0.72067,1.54744,0.0019703,0.0019703,0.0019703
17,80.8035,1.24132,0.85419,1.49849,0.98431,0.98658,0.99369,0.70477,1.03046,0.65093,1.53889,0.00196832,0.00196832,0.00196832
18,85.44,1.17641,0.80536,1.45945,0.99148,0.97315,0.9944,0.70098,1.05804,0.64671,1.54343,0.00196634,0.00196634,0.00196634
19,90.198,1.18607,0.79773,1.44916,0.99588,0.98658,0.99455,0.69713,1.0582,0.6439,1.52403,0.00196436,0.00196436,0.00196436
20,94.9288,1.1337,0.77062,1.41404,0.99319,0.97815,0.99249,0.69485,1.096,0.64944,1.56306,0.00196238,0.00196238,0.00196238
21,99.5884,1.18327,0.76656,1.42631,0.94187,0.98658,0.98492,0.69698,0.99185,0.67574,1.43137,0.0019604,0.0019604,0.0019604
22,104.24,1.10975,0.72962,1.37678,0.99714,0.98658,0.99487,0.72974,0.95172,0.59118,1.41728,0.00195842,0.00195842,0.00195842
23,108.903,1.09937,0.72187,1.36227,0.99297,0.97315,0.99321,0.67844,1.08419,0.62611,1.50234,0.00195644,0.00195644,0.00195644
