epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,128.121,0.54607,0.37976,0.91826,0.97992,1,0.99123,0.89207,0.45478,0.30474,0.84949,0.00191684,0.00191684,0.00191684
44,131.155,0.53608,0.36388,0.92401,0.98047,1,0.98926,0.89904,0.46363,0.3167,0.86569,0.00191486,0.00191486,0.00191486
45,134.28,0.50421,0.35006,0.91804,0.9551,0.99391,0.98391,0.87188,0.56568,0.36846,0.90375,0.00191288,0.00191288,0.00191288
46,137.381,0.54516,0.36317,0.94306,0.97573,1,0.98879,0.90317,0.46573,0.29782,0.85302,0.0019109,0.0019109,0.0019109
47,140.4,0.56802,0.38062,0.95586,0.98071,1,0.98846,0.88402,0.48528,0.30825,0.86783,0.00190892,0.00190892,0.00190892
48,143.385,0.55047,0.36904,0.93744,0.98123,1,0.98685,0.9055,0.44844,0.30018,0.85501,0.00190694,0.00190694,0.00190694
49,146.406,0.58029,0.38703,0.95476,0.98081,1,0.98963,0.88907,0.48525,0.29536,0.88586,0.00190496,0.00190496,0.00190496
50,149.361,0.55446,0.37319,0.93141,0.98533,1,0.99241,0.90295,0.47601,0.29907,0.86465,0.00190298,0.00190298,0.00190298
51,152.378,0.51329,0.36119,0.92691,0.99273,1,0.995,0.90838,0.47939,0.2871,0.87019,0.001901,0.001901,0.001901
52,155.35,0.53673,0.36791,0.93644,0.98104,1,0.99222,0.91478,0.4265,0.27766,0.84205,0.00189902,0.00189902,0.00189902
53,158.416,0.50685,0.3461,0.92403,0.97192,1,0.9897,0.9111,0.41045,0.29932,0.83981,0.00189704,0.00189704,0.00189704
54,161.399,0.54773,0.36617,0.92805,0.97851,1,0.99263,0.9107,0.42706,0.28238,0.85218,0.00189506,0.00189506,0.00189506
55,164.331,0.50753,0.34543,0.92971,0.98493,1,0.99204,0.91481,0.44186,0.286,0.85483,0.00189308,0.00189308,0.00189308
56,167.273,0.53915,0.36116,0.93549,0.98515,0.99065,0.99313,0.92255,0.41321,0.29856,0.84488,0.0018911,0.0018911,0.0018911
57,170.215,0.50671,0.33915,0.93838,0.99072,0.99818,0.98852,0.90368,0.44942,0.28019,0.85453,0.00188912,0.00188912,0.00188912
58,173.155,0.51439,0.34966,0.92262,0.97959,1,0.98728,0.90354,0.44437,0.29156,0.8593,0.00188714,0.00188714,0.00188714
59,176.113,0.51406,0.34402,0.92149,0.98975,1,0.98944,0.90306,0.46565,0.27637,0.85886,0.00188516,0.00188516,0.00188516
60,179.11,0.52524,0.3641,0.92221,0.97967,1,0.98722,0.8984,0.45505,0.29842,0.85097,0.00188318,0.00188318,0.00188318
61,182.092,0.51887,0.37916,0.92007,0.98061,1,0.98926,0.89296,0.48125,0.30259,0.86248,0.0018812,0.0018812,0.0018812
62,185.041,0.51614,0.35652,0.91872,0.98089,1,0.99154,0.90308,0.4614,0.28714,0.8505,0.00187922,0.00187922,0.00187922
63,188.039,0.54301,0.36055,0.9258,0.9809,1,0.99214,0.9092,0.44026,0.30464,0.85046,0.00187724,0.00187724,0.00187724
64,191.067,0.53128,0.35643,0.93692,0.98053,1,0.99223,0.90198,0.47156,0.28568,0.85472,0.00187526,0.00187526,0.00187526
65,194.099,0.53811,0.35152,0.93554,0.98041,1,0.98964,0.91347,0.43097,0.27736,0.84306,0.00187328,0.00187328,0.00187328
66,197.132,0.49368,0.32839,0.91346,0.97975,1,0.9907,0.90947,0.40745,0.26708,0.83191,0.0018713,0.0018713,0.0018713
67,200.074,0.5064,0.33515,0.91997,0.98107,1,0.99236,0.91073,0.45081,0.29955,0.8437,0.00186932,0.00186932,0.00186932
68,203.03,0.52368,0.34484,0.92904,0.98116,1,0.99444,0.92099,0.41328,0.26647,0.83858,0.00186734,0.00186734,0.00186734
69,206.239,0.49938,0.33916,0.91479,0.98912,1,0.99176,0.89867,0.44439,0.27683,0.85825,0.00186536,0.00186536,0.00186536
70,209.419,0.53489,0.34055,0.92793,0.99074,0.9997,0.99037,0.91474,0.42259,0.29828,0.85439,0.00186338,0.00186338,0.00186338
71,212.412,0.49523,0.34585,0.92384,0.98858,1,0.9938,0.90301,0.45515,0.27396,0.85402,0.0018614,0.0018614,0.0018614
72,215.408,0.50205,0.34631,0.92349,0.98122,1,0.99148,0.91058,0.44281,0.26568,0.84738,0.00185942,0.00185942,0.00185942
73,218.389,0.5304,0.35088,0.93939,0.99,1,0.99213,0.91045,0.43322,0.26545,0.84602,0.00185744,0.00185744,0.00185744
74,221.386,0.50393,0.33977,0.92158,0.98557,1,0.98704,0.89697,0.46828,0.2804,0.85455,0.00185546,0.00185546,0.00185546
75,224.461,0.51746,0.34803,0.92328,0.98085,1,0.98578,0.90878,0.41949,0.28136,0.84879,0.00185348,0.00185348,0.00185348
76,227.464,0.51393,0.34816,0.91583,0.98068,1,0.98558,0.89943,0.45488,0.28606,0.86294,0.0018515,0.0018515,0.0018515
77,231.401,0.51544,0.33286,0.93468,0.98112,1,0.98954,0.92168,0.41215,0.26663,0.84443,0.00184952,0.00184952,0.00184952
78,235.596,0.50294,0.33077,0.9141,0.98443,1,0.98917,0.92314,0.42956,0.25895,0.84288,0.00184754,0.00184754,0.00184754
79,239.414,0.49956,0.33063,0.92374,0.98886,1,0.98889,0.91817,0.42619,0.25871,0.84593,0.00184556,0.00184556,0.00184556
80,242.646,0.47765,0.32228,0.90438,0.98809,1,0.99444,0.9114,0.4342,0.26567,0.84519,0.00184358,0.00184358,0.00184358
81,245.8,0.48629,0.32875,0.90664,0.98713,1,0.98963,0.91157,0.42279,0.25914,0.84455,0.0018416,0.0018416,0.0018416
82,249.132,0.49833,0.32578,0.92346,0.98099,1,0.99304,0.90232,0.43213,0.27107,0.84773,0.00183962,0.00183962,0.00183962
83,252.431,0.50145,0.32862,0.91585,0.98047,1,0.98999,0.89981,0.44884,0.26432,0.84442,0.00183764,0.00183764,0.00183764
84,255.727,0.47932,0.30726,0.90234,0.98055,1,0.98885,0.93374,0.40209,0.25379,0.83407,0.00183566,0.00183566,0.00183566
85,258.694,0.46196,0.31243,0.90644,0.98071,1,0.99107,0.92743,0.41562,0.26138,0.84337,0.00183368,0.00183368,0.00183368
86,262.131,0.47462,0.32154,0.90795,0.97706,1,0.99161,0.91592,0.42218,0.2775,0.84726,0.0018317,0.0018317,0.0018317
87,265.287,0.47468,0.3243,0.91009,0.98134,1,0.99296,0.92676,0.39106,0.2501,0.82893,0.00182972,0.00182972,0.00182972
88,268.421,0.47763,0.3152,0.91488,0.98114,1,0.99361,0.90616,0.43611,0.26788,0.84166,0.00182774,0.00182774,0.00182774
89,271.515,0.48617,0.31744,0.91002,0.97866,1,0.98986,0.90756,0.42537,0.26958,0.84365,0.00182576,0.00182576,0.00182576
90,274.549,0.49277,0.31668,0.91689,0.97951,1,0.99107,0.92177,0.4199,0.27416,0.84383,0.00182378,0.00182378,0.00182378
91,277.656,0.48151,0.31811,0.91259,0.98122,1,0.99278,0.93193,0.40179,0.24122,0.83979,0.0018218,0.0018218,0.0018218
92,280.77,0.4804,0.31745,0.90344,0.9807,1,0.98743,0.90985,0.41223,0.25478,0.83941,0.00181982,0.00181982,0.00181982
93,283.869,0.48529,0.31575,0.92045,0.97915,1,0.98762,0.92253,0.40935,0.26205,0.83898,0.00181784,0.00181784,0.00181784
94,286.999,0.48144,0.32425,0.8919,0.98124,1,0.98977,0.9235,0.42215,0.26382,0.83806,0.00181586,0.00181586,0.00181586
